2019-08-02 09:23:27.824 logback [main] INFO  com.jindi.land.LandApplication - Starting LandApplication on localhost with PID 18496 (/Users/mac/work/source/idea/java1.8/landCraw/target/classes started by mac in /Users/mac/work/source/idea/java1.8/landCraw)
2019-08-02 09:23:41.348 logback [pool-3-thread-5] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 重庆市, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
2019-08-02 09:23:41.401 logback [pool-4-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:41.402 logback [pool-4-thread-3] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 陕西省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:41.460 logback [pool-4-thread-3] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 陕西省, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=2
2019-08-02 09:23:41.597 logback [pool-5-thread-1] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://113.236.32.249:4384
2019-08-02 09:23:41.803 logback [pool-3-thread-5] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://114.239.255.135:4336
2019-08-02 09:23:41.919 logback [pool-4-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:41.919 logback [pool-4-thread-2] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 1989-02-11
2019-08-02 09:23:41.933 logback [pool-3-thread-4] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://218.23.128.27:43541
2019-08-02 09:23:41.970 logback [pool-4-thread-2] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 重庆市, date = 2000-01-01 - 1989-02-11, pageCount = 1, pageNo=1
2019-08-02 09:23:42.040 logback [pool-2-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:42.040 logback [pool-2-thread-1] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 黑龙江省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:42.042 logback [pool-2-thread-2] INFO  c.j.l.s.impl.CrawCommonServiceImpl - get success proxy=http://111.76.175.229:43251
2019-08-02 09:23:42.082 logback [pool-2-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - get cookie failed
2019-08-02 09:23:42.083 logback [pool-2-thread-5] WARN  c.jindi.land.handler.LandCrawHandler - craw failed：province = 贵州省, date = 2000-01-01 - 2019-08-02
2019-08-02 09:23:42.091 logback [pool-2-thread-1] INFO  c.jindi.land.handler.LandCrawHandler - 抓取列表页：province = 陕西省, date = 2000-01-01 - 2019-08-02, pageCount = 1, pageNo=1
